순위,제목,변동,변동폭
01,테넷,불변,0
02,오! 문희,상승,1
03,다만 악에서 구하소서,강등,1
04,오케이 마담,불변,0
05,뮬란,불변,0
06,드라이브,불변,0
07,고스트 오브 워,불변,0
08,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,1
09,후쿠오카,강등,1
10,기기괴괴 성형수,상승,4
11,남매의 여름밤,상승,1
12,태백권,강등,2
13,반도,강등,2
14,강철비2: 정상회담,강등,1
15,뉴 뮤턴트,불변,0
16,에이바,불변,0
17,카일라스 가는 길,상승,3
18,69세,강등,1
19,먼 훗날 우리,불변,0
20,반교: 디텐션,강등,2
21,하워즈 엔드,상승,11
22,검객,상승,2
23,아무도 없다,상승,4
24,덩케르크,강등,1
25,더 배트맨,상승,1
26,메멘토,상승,1
27,담보,강등,6
28,인셉션,강등,3
29,지푸라기라도 잡고 싶은 짐승들,상승,5
30,시크릿 가든,강등,8
31,소년시절의 너,상승,6
32,캐리비안 해적과 마법 다이아몬드,강등,3
33,인터스텔라,강등,2
34,이별식당,강등,4
35,도망친 여자,상승,9
36,#살아있다,강등,1
37,나를 구하지 마세요,상승,5
38,아메리칸 잡,강등,2
39,가버나움,상승,1
40,아웃포스트,상승,7
41,범죄도시 2,상승,16
42,비독: 파리의 황제,상승,23
43,트랜센던스,강등,2
44,워터 릴리스,강등,5
45,미드소마,상승,7
46,블랙 팬서 2,강등,8
47,프레스티지,강등,1
48,다크 나이트,강등,2
49,빌 & 테드 페이스 더 뮤직,강등,1
50,나의 소녀시대,강등,17
